transcript_id	gene_symbol
ENST00000353662	ACAP3
ENST00000470659	ACAP3
ENST00000613751	MIR6726
ENST00000379037	ACAP3
ENST00000476572	ACAP3
ENST00000493992	ACAP3
ENST00000472541	ACAP3
ENST00000354980	ACAP3
ENST00000478065	ACAP3
ENST00000479108	ACAP3
ENST00000438966	ACAP3
ENST000003790310	PUSL1
ENST00000470520	PUSL1
ENST00000463758	PUSL1
ENST00000467712	PUSL1
ENST00000493657	PUSL1
ENST00000470030	INTS11
ENST00000540437	INTS11
ENST00000545578	INTS11
ENST00000618806	INTS11
ENST00000620829	INTS11
ENST00000497304	INTS11
ENST000003232750	INTS11
ENST00000435064	INTS11
ENST00000411962	INTS11
ENST00000462432	INTS11
ENST00000478641	INTS11
ENST00000421495	INTS11
ENST00000458452	INTS11
ENST00000419704	INTS11
ENST00000532772	INTS11
ENST00000450926	INTS11
ENST00000527098	INTS11
ENST00000485710	INTS11
ENST00000461514	INTS11
ENST00000525164	INTS11
ENST00000528879	INTS11
ENST00000525769	INTS11
ENST00000620702	MIR6727
ENST00000531377	INTS11
ENST00000527383	INTS11
ENST00000531292	INTS11
ENST00000467408	INTS11
ENST00000434694	INTS11
ENST00000531020	INTS11
ENST00000533916	INTS11
ENST00000488042	INTS11
ENST00000526797	INTS11
ENST00000526332	INTS11
ENST00000430786	INTS11
ENST00000527719	INTS11
ENST00000530031	INTS11
ENST00000526113	INTS11
ENST00000526904	INTS11
ENST00000525603	INTS11
ENST00000444968	AL139287
ENST00000429572	INTS11
ENST00000498173	INTS11
ENST00000496353	INTS11
ENST00000493534	INTS11
ENST00000534345	INTS11
ENST00000532952	INTS11
ENST00000490853	INTS11
ENST00000531019	INTS11
ENST00000498476	INTS11
ENST00000470679	INTS11
ENST00000525285	INTS11
ENST00000530233	INTS11
ENST00000464957	CPTP
ENST00000343938	CPTP
ENST00000488011	CPTP
ENST00000339381	TAS1R3
ENST00000378891	DVL1
ENST000003788880	DVL1
ENST00000610709	DVL1
ENST00000632445	DVL1
ENST00000631679	DVL1
ENST00000634054	DVL1
ENST00000633096	DVL1
ENST00000616525	MIR6808
ENST00000472445	DVL1
ENST00000474033	MXRA8
ENST00000342753	MXRA8
ENST000003092121	MXRA8
ENST00000445648	MXRA8
ENST00000477278	MXRA8
ENST00000473097	MXRA8
ENST00000478517	MXRA8
ENST00000476718	MXRA8
ENST00000464351	MXRA8
ENST00000460473	MXRA8
ENST00000338370	AURKAIP1
ENST00000338338	AURKAIP1
ENST00000321751	AURKAIP1
ENST00000378853	AURKAIP1
ENST00000489799	AURKAIP1
ENST00000496905	AURKAIP1
ENST00000435351	NDUFB4P8
ENST00000480479	CCNL2
ENST00000400809	CCNL2
ENST00000482621	CCNL2
ENST00000463260	CCNL2
ENST00000496007	CCNL2
ENST00000482365	CCNL2
ENST00000408952	CCNL2
ENST00000481223	CCNL2
ENST00000418865	CCNL2
ENST00000505849	CCNL2
ENST00000488340	CCNL2
ENST00000492998	CCNL2
ENST00000469113	CCNL2
ENST00000480646	CCNL2
ENST00000471930	CCNL2
ENST00000408918	CCNL2
ENST00000473872	CCNL2
ENST00000425598	CCNL2
ENST00000463895	CCNL2
ENST00000497013	CCNL2
ENST00000659048	MRPL20-AS1
ENST00000448629	MRPL20-AS1
ENST00000444362	MRPL20-AS1
ENST00000418833	MRPL20-AS1
ENST00000576232	MRPL20-AS1
ENST00000570344	MRPL20-AS1
ENST00000447725	MRPL20-AS1
ENST00000572242	MRPL20-AS1
ENST00000453521	MRPL20-AS1
ENST000003448432	MRPL20
ENST00000493287	MRPL20
ENST00000487659	MRPL20
ENST00000492508	MRPL20
ENST00000482352	MRPL20
ENST00000582431	RN7SL657P
ENST00000477686	MRPL20
ENST00000607307	MRPL20-DT
ENST00000520296	ANKRD65
ENST00000427211	ANKRD65
ENST00000537107	ANKRD65
ENST00000454272	ANKRD65
ENST00000442470	ANKRD65
ENST00000428932	AL391244
ENST00000378821	TMEM88B
ENST00000430109	LINC01770
ENST00000434150	LINC01770
ENST00000454562	LINC01770
ENST00000417917	LINC01770
ENST00000495558	VWA1
ENST00000338660	VWA1
ENST00000476993	VWA1
ENST00000471398	VWA1
ENST00000378785	ATAD3C
ENST00000475091	ATAD3C
ENST00000484537	ATAD3C
ENST00000673477	ATAD3B
ENST00000308647	ATAD3B
ENST00000472194	ATAD3B
ENST00000378736	ATAD3B
ENST00000485748	ATAD3B
ENST00000474481	ATAD3B
ENST00000641974	AL645728
ENST00000641679	AL645728
ENST00000378756	ATAD3A
ENST00000672388	ATAD3A
ENST00000378755	ATAD3A
ENST00000339113	ATAD3A
ENST00000536055	ATAD3A
ENST00000439513	ATAD3A
ENST00000429957	ATAD3A
ENST00000400830	ATAD3A
ENST00000378733	TMEM240
ENST00000425828	TMEM240
ENST00000624426	TMEM240
ENST00000291386	SSU72
ENST00000378726	SSU72
ENST00000378725	SSU72
ENST00000359060	SSU72
ENST00000647566	AL645728
ENST00000366221	AL645728
ENST00000621860	AL691432
ENST00000422725	FNDC10
ENST00000658591	AL691432
ENST00000607222	AL691432
ENST00000520777	MIB2
ENST00000355826	MIB2
ENST00000518681	MIB2
ENST00000505820	MIB2
ENST00000479659	MIB2
ENST00000489635	MIB2
ENST00000511502	MIB2
ENST00000477990	MIB2
ENST00000514363	MIB2
ENST00000487053	MIB2
ENST00000502470	MIB2
ENST00000378712	MIB2
ENST00000507082	MIB2
ENST00000463492	MIB2
ENST00000510793	MIB2
ENST00000504599	MIB2
ENST00000507229	MIB2
ENST00000503789	MIB2
ENST00000378708	MIB2
ENST00000506488	MIB2
ENST00000512004	MIB2
ENST00000508455	MIB2
ENST00000514234	MIB2
ENST00000467597	MIB2
ENST00000508148	MIB2
ENST00000486072	MIB2
ENST00000505370	MIB2
ENST00000473511	MIB2
ENST00000464570	MIB2
ENST00000483015	MIB2
ENST00000511910	MIB2
ENST00000470373	MIB2
ENST00000472264	MMP23B
ENST000003560260	MMP23B
ENST00000512731	MMP23B
ENST00000378675	MMP23B
ENST00000479814	MMP23B
ENST00000435358	MMP23B
ENST00000503792	MMP23B
ENST00000489782	MMP23B
ENST00000486400	MMP23B
ENST00000490017	MMP23B
ENST000003418321	CDK11B
ENST00000407249	CDK11B
ENST00000340677	CDK11B
ENST00000611150	CDK11B
ENST00000615951	CDK11B
ENST00000626918	CDK11B
ENST00000629289	CDK11B
ENST00000629312	CDK11B
ENST00000341028	CDK11B
ENST00000607013	FO704657
ENST00000614300	SLC35E2B
ENST00000617444	SLC35E2B
ENST00000611123	SLC35E2B
ENST00000480991	SLC35E2B
ENST00000481276	SLC35E2B
ENST00000596308	AL691432
ENST00000597891	AL691432
ENST00000234610	MMP23A
ENST00000404249	CDK11A
ENST00000356200	CDK11A
ENST00000598846	AL031282
ENST00000463652	CDK11A
ENST00000356937	CDK11A
ENST00000378638	CDK11A
ENST00000509982	CDK11A
ENST00000357760	CDK11A
ENST00000358779	CDK11A
ENST00000378633	CDK11A
ENST00000460465	CDK11A
ENST00000478901	CDK11A
ENST00000468397	CDK11A
ENST00000491311	CDK11A
ENST00000495016	CDK11A
ENST00000468800	CDK11A
ENST00000464748	CDK11A
ENST00000489300	CDK11A
ENST00000492390	CDK11A
ENST00000474916	CDK11A
ENST00000479362	CDK11A
ENST00000498810	CDK11A
ENST00000487462	CDK11A
ENST00000401096	CDK11A
ENST00000577672	AL031282
ENST00000417099	AL031282
ENST00000647043	SLC35E2A
ENST00000475229	SLC35E2A
ENST00000246421	SLC35E2A
ENST00000424604	AL031282
ENST00000643943	SLC35E2A
ENST00000418950	AL031282
ENST00000341426	NADK
ENST00000341991	NADK
ENST00000378625	NADK
ENST00000342348	NADK
ENST00000498806	NADK
ENST00000469045	NADK
ENST00000480499	NADK
ENST00000497747	NADK
ENST00000477235	NADK
ENST00000489538	NADK
ENST00000497615	NADK
ENST00000497186	NADK
ENST00000492845	NADK
ENST00000492768	NADK
ENST00000460602	NADK
ENST00000464373	NADK
ENST00000480542	NADK
ENST00000610897	GNB1
ENST00000615252	GNB1
ENST00000378609	GNB1
ENST00000461893	GNB1
ENST00000471354	GNB1
ENST00000439272	GNB1
ENST00000434686	GNB1
ENST00000437146	GNB1
ENST00000607589	GNB1
ENST00000472614	GNB1
ENST00000412228	AL109917
ENST00000378604	CALML6
ENST00000307786	CALML6
ENST00000482402	CALML6
ENST00000462293	CALML6
ENST00000378602	TMEM52
ENST00000310991	TMEM52
ENST00000378598	TMEM52
ENST00000470931	TMEM52
ENST00000602604	TMEM52
ENST00000416272	TMEM52
ENST00000642590	CFAP74
ENST00000493964	CFAP74
ENST00000464311	CFAP74
ENST00000412120	CFAP74
ENST00000493316	CFAP74
ENST000002707201	CFAP74
ENST00000468610	CFAP74
ENST00000461752	CFAP74
ENST00000378592	CFAP74
ENST00000378590	CFAP74
ENST00000443930	AL391845
ENST00000659674	AL391845
ENST00000638411	GABRD
ENST00000378585	GABRD
ENST00000639045	GABRD
ENST00000640067	GABRD
ENST00000638604	GABRD
ENST00000638771	GABRD
ENST00000639935	GABRD
ENST00000640949	GABRD
ENST00000640030	GABRD
ENST00000640423	GABRD
ENST00000639625	GABRD
ENST00000639777	GABRD
ENST00000640981	GABRD
ENST00000638763	GABRD
ENST00000639070	GABRD
ENST00000640892	GABRD
ENST00000640317	GABRD
ENST00000638804	GABRD
ENST00000640688	GABRD
ENST00000445600	AL391845
ENST00000449154	AL391845
ENST00000378567	PRKCZ
ENST00000468310	PRKCZ
ENST00000484419	PRKCZ
ENST00000503297	PRKCZ
ENST00000479566	PRKCZ
ENST00000466651	PRKCZ
ENST00000400921	PRKCZ
ENST00000495347	PRKCZ
ENST00000461106	PRKCZ
ENST00000461465	PRKCZ
ENST00000470596	PRKCZ
ENST00000496325	PRKCZ
ENST00000481140	PRKCZ
ENST00000482686	PRKCZ
ENST00000486681	PRKCZ
ENST00000470986	PRKCZ
ENST00000470511	PRKCZ
ENST00000471018	PRKCZ
ENST00000466352	PRKCZ
ENST00000497183	PRKCZ
ENST00000419838	PRKCZ
ENST00000606533	AL590822
ENST00000479263	PRKCZ
ENST00000503672	PRKCZ
ENST00000478770	PRKCZ
ENST00000505322	PRKCZ
ENST00000472017	PRKCZ
ENST00000333854	PRKCZ-AS1
ENST00000444529	PRKCZ-AS1
ENST00000400919	FAAP20
ENST00000469733	FAAP20
ENST00000428120	FAAP20
ENST00000414253	FAAP20
ENST00000400918	FAAP20
ENST00000497675	FAAP20
ENST00000378543	FAAP20
ENST00000378546	FAAP20
ENST00000401813	FAAP20
ENST00000487186	FAAP20
ENST00000476803	FAAP20
ENST00000440825	FAAP20
ENST00000420515	FAAP20
ENST00000514625	FAAP20
ENST00000420964	FAAP20
ENST00000442483	AL590822
ENST00000378536	SKI
ENST00000508416	SKI
ENST00000478223	SKI
ENST00000507179	SKI
ENST00000659232	AL590822
ENST00000661319	AL590822
ENST00000378531	MORN1
ENST00000607720	AL589739
ENST00000606372	MORN1
ENST00000602865	AL513477
ENST00000417061	AL513477
ENST00000378529	MORN1
ENST00000607342	MORN1
ENST00000607858	AL513477
ENST00000469374	MORN1
ENST00000419785	MORN1
ENST00000449373	MORN1
ENST00000378525	MORN1
ENST00000607031	MORN1
ENST00000475812	MORN1
ENST00000494279	MORN1
ENST00000378513	RER1
ENST00000378518	RER1
ENST00000605895	RER1
ENST000003062563	RER1
ENST00000493207	RER1
ENST00000378512	RER1
ENST00000443438	RER1
ENST00000488353	RER1
ENST00000462129	RER1
ENST00000288774	PEX10
ENST00000447513	PEX10
ENST00000650293	PEX10
ENST00000507596	PEX10
ENST00000510434	PEX10
ENST00000508384	PEX10
ENST00000515760	PEX10
ENST00000502666	PEX10
ENST00000514502	PEX10
ENST00000609981	PLCH2
ENST00000449969	PLCH2
ENST00000378486	PLCH2
ENST00000419816	PLCH2
ENST00000343889	PLCH2
ENST00000278878	PLCH2
ENST00000424657	AL139246
ENST00000442305	AL139246
ENST00000473964	PLCH2
ENST00000462379	PLCH2
ENST00000378466	PANK4
ENST00000435556	PANK4
ENST00000505228	PANK4
ENST00000502512	PANK4
ENST00000471361	PANK4
ENST00000487804	PANK4
ENST00000515423	PANK4
ENST00000468002	PANK4
ENST00000486396	PANK4
ENST00000502770	PANK4
ENST00000491212	PANK4
ENST00000514922	PANK4
ENST00000378453	HES5
ENST00000644246	AL139246
ENST00000606645	AL139246
ENST00000449660	TNFRSF14-AS1
ENST00000443892	TNFRSF14-AS1
ENST00000416860	TNFRSF14-AS1
ENST00000448624	TNFRSF14-AS1
ENST00000432521	TNFRSF14-AS1
ENST00000452793	TNFRSF14-AS1
ENST00000426449	TNFRSF14
ENST00000434817	TNFRSF14
ENST00000435221	TNFRSF14
ENST00000451778	TNFRSF14
ENST00000409119	TNFRSF14
ENST00000355716	TNFRSF14
ENST00000475523	TNFRSF14
ENST00000442392	TNFRSF14
ENST00000482074	TNFRSF14
ENST00000496064	TNFRSF14
ENST00000463471	TNFRSF14
ENST00000466750	TNFRSF14
ENST00000471768	TNFRSF14
ENST00000463835	TNFRSF14
ENST00000482602	TNFRSF14
ENST00000480305	TNFRSF14
ENST00000456687	AL139246
ENST00000424215	AL139246
ENST00000493183	PRXL2B
ENST00000474659	PRXL2B
ENST00000378425	PRXL2B
ENST00000444521	PRXL2B
ENST00000419916	PRXL2B
ENST00000378424	PRXL2B
ENST00000537325	PRXL2B
ENST00000378427	PRXL2B
ENST00000464043	PRXL2B
ENST00000465233	PRXL2B
ENST00000498083	PRXL2B
ENST00000481683	PRXL2B
ENST00000484099	PRXL2B
ENST00000477045	PRXL2B
ENST00000476686	PRXL2B
ENST00000471840	MMEL1
ENST00000378412	MMEL1
ENST00000502556	MMEL1
ENST00000504800	MMEL1
ENST00000491941	MMEL1
ENST00000464195	MMEL1
ENST00000469962	MMEL1
ENST00000509374	MMEL1
ENST00000511099	MMEL1
ENST00000427302	MMEL1-AS1
ENST00000401095	TTC34
ENST00000637179	TTC34
ENST00000648684	AC242022
ENST00000638002	AC242022
ENST00000457440	AL592464
ENST00000664694	AL592464
ENST00000429389	AL592464
ENST00000641229	AL589702
ENST00000642073	AL589702
ENST00000378404	ACTRT2
ENST00000606861	PRDM16-DT
ENST00000321399	PRDM16-DT
ENST00000413472	PRDM16-DT
ENST00000453118	PRDM16-DT
ENST00000445317	PRDM16-DT
ENST00000667159	PRDM16-DT
ENST00000670730	PRDM16-DT
ENST00000415573	PRDM16-DT
ENST00000420957	PRDM16-DT
ENST00000321336	PRDM16-DT
ENST00000511072	PRDM16
ENST00000607632	PRDM16
ENST00000378391	PRDM16
ENST000002707220	PRDM16
ENST00000514189	PRDM16
ENST00000635819	MIR4251
ENST00000440516	AL008733
ENST00000624175	AL512383
ENST00000512462	PRDM16
ENST00000463591	PRDM16
ENST00000607061	AL590438
ENST00000669140	AL354743
ENST00000665088	AL354743
ENST00000509860	PRDM16
ENST00000378389	PRDM16
ENST00000606170	PRDM16
ENST00000378378	ARHGEF16
ENST00000378373	ARHGEF16
ENST00000378371	ARHGEF16
ENST00000445297	ARHGEF16
ENST00000464620	ARHGEF16
ENST00000418137	ARHGEF16
ENST00000485984	ARHGEF16
ENST00000606489	AL512413
ENST00000356575	MEGF6
ENST00000294599	MEGF6
ENST00000494257	MEGF6
ENST00000485002	MEGF6
ENST00000491842	MEGF6
ENST00000475790	MEGF6
ENST00000461795	MEGF6
ENST00000385042	MIR551A
ENST00000435049	AL513320
ENST00000378344	TPRG1L
ENST00000344579	TPRG1L
ENST00000378322	WRAP73
ENST000002707082	WRAP73
ENST00000471223	WRAP73
ENST00000424367	WRAP73
ENST00000497940	WRAP73
ENST00000469643	WRAP73
ENST00000494884	WRAP73
ENST00000465916	WRAP73
ENST00000419924	WRAP73
ENST00000479331	WRAP73
ENST00000378295	TP73
ENST00000604074	TP73
ENST00000354437	TP73
ENST00000346387	TP73
ENST00000357733	TP73
ENST00000443034	TP73-AS3
ENST00000603362	TP73
ENST00000604479	TP73
ENST00000378280	TP73
ENST00000378285	TP73
ENST00000378288	TP73
ENST00000603364	TP73
ENST00000604194	TP73
ENST00000378290	TP73
ENST00000416554	TP73-AS2
ENST00000604566	TP73
ENST00000648526	TP73-AS1
ENST00000624167	TP73-AS1
ENST00000418088	TP73-AS1
ENST00000648432	TP73-AS1
ENST00000648479	TP73-AS1
ENST00000452079	TP73-AS1
ENST00000650545	TP73-AS1
ENST00000419973	TP73-AS1
ENST00000647831	TP73-AS1
ENST00000648717	TP73-AS1
ENST00000611447	AL136528
ENST00000648600	TP73-AS1
ENST00000423764	TP73-AS1
ENST00000647817	TP73-AS1
ENST00000649123	TP73-AS1
ENST00000648270	TP73-AS1
ENST00000650037	TP73-AS1
ENST00000650039	TP73-AS1
ENST00000649468	TP73-AS1
ENST00000648553	TP73-AS1
ENST00000649348	TP73-AS1
ENST00000636630	TP73-AS1
ENST00000587071	TP73-AS1
ENST00000637775	TP73-AS1
ENST00000608600	TP73-AS1
ENST00000649290	TP73-AS1
ENST00000647686	TP73-AS1
ENST00000648935	TP73-AS1
ENST00000649413	TP73-AS1
ENST00000624948	TP73-AS1
ENST00000636250	CCDC27
ENST00000462521	CCDC27
ENST00000294600	CCDC27
ENST00000642557	SMIM1
ENST00000561886	SMIM1
ENST00000444870	SMIM1
ENST00000452264	SMIM1
ENST00000378251	LRRC47
ENST00000462356	LRRC47
ENST00000479239	LRRC47
ENST00000581512	RN7SL574P
ENST00000607459	AL365330
ENST00000675966	CEP104
ENST00000378230	CEP104
ENST00000674623	CEP104
ENST00000674879	CEP104
ENST00000674985	CEP104
ENST00000675108	CEP104
ENST00000675200	CEP104
ENST00000675666	CEP104
ENST00000675677	CEP104
ENST00000675750	CEP104
ENST00000676009	CEP104
ENST00000676052	CEP104
ENST00000674558	CEP104
ENST00000675334	CEP104
ENST00000674544	CEP104
ENST00000675375	CEP104
ENST00000484420	CEP104
ENST00000428079	CEP104
ENST00000438539	CEP104
ENST00000461667	CEP104
ENST00000495701	CEP104
ENST00000460038	CEP104
ENST00000494653	CEP104
ENST00000675520	CEP104
ENST00000378223	CEP104
ENST00000676046	CEP104
ENST00000625756	DFFB
ENST00000338895	DFFB
ENST00000491998	DFFB
ENST00000468793	DFFB
ENST00000339350	DFFB
ENST00000477548	DFFB
ENST00000378209	DFFB
ENST00000378206	DFFB
ENST00000475969	DFFB
