#name	geneName
ENST00000414273.1	MTCO1P12
ENST00000621981.1	AC114498.2
ENST00000427426.1	MTCO2P12
ENST00000467115.1	MTATP8P1
ENST00000514057.1	MTATP6P1
ENST00000416718.2	MTCO3P12
ENST00000438434.2	WBP1LP6
ENST00000332831.4	OR4F16
ENST00000441245.5	AL669831.3
ENST00000414688.6	AL669831.3
ENST00000636676.1	AL669831.3
ENST00000447954.2	AL669831.3
ENST00000440782.3	CICP3
ENST00000506640.2	AL669831.1
ENST00000411249.1	RNU6-1199P
ENST00000422528.1	AL669831.2
ENST00000428504.2	AL669831.1
ENST00000655765.1	LINC01409
ENST00000412115.2	LINC01409
ENST00000670700.1	LINC01409
ENST00000429505.6	LINC01409
ENST00000657896.1	LINC01409
ENST00000434264.6	LINC01409
ENST00000457084.1	LINC01409
ENST00000658648.1	LINC01409
ENST00000656571.1	LINC01409
ENST00000665867.1	LINC01409
ENST00000669749.1	LINC01409
ENST00000666217.1	LINC01409
ENST00000665719.1	LINC01409
ENST00000651411.1	LINC01409
ENST00000589899.5	LINC01409
ENST00000609830.1	LINC01409
ENST00000443772.2	LINC01409
ENST00000644482.1	AL669831.6
ENST00000585826.1	LINC01409
ENST00000592547.1	LINC01409
ENST00000586928.5	LINC01409
ENST00000585745.5	LINC01409
ENST00000585768.5	LINC01409
ENST00000590848.5	LINC01409
ENST00000591440.5	LINC01409
ENST00000587530.5	LINC01409
ENST00000593022.5	LINC01409
ENST00000589531.5	LINC01409
ENST00000588951.5	LINC01409
ENST00000586288.1	LINC01409
ENST00000591702.1	LINC01409
ENST00000447500.4	AL669831.4
ENST00000655384.1	LINC01409
ENST00000667728.1	LINC01409
ENST00000590817.3	AL669831.4
ENST00000326734.2	FAM87B
ENST00000624927.3	LINC01128
ENST00000473798.1	LINC00115
ENST00000623808.3	LINC01128
ENST00000445118.7	LINC01128
ENST00000669922.1	LINC01128
ENST00000670780.1	LINC01128
ENST00000667414.1	LINC01128
ENST00000666741.1	LINC01128
ENST00000623070.4	LINC01128
ENST00000659124.1	LINC01128
ENST00000658846.1	LINC01128
ENST00000608189.5	LINC01128
ENST00000448975.6	LINC01128
ENST00000449005.6	LINC01128
ENST00000441765.6	LINC01128
ENST00000609139.6	LINC01128
ENST00000609009.6	LINC01128
ENST00000657837.1	LINC01128
ENST00000610067.6	LINC01128
ENST00000416570.5	LINC01128
ENST00000661237.1	LINC01128
ENST00000668541.1	LINC01128
ENST00000657175.1	LINC01128
ENST00000660797.1	LINC01128
ENST00000622921.1	LINC01128
ENST00000670824.1	LINC01128
ENST00000415295.1	LINC01128
ENST00000425657.1	LINC01128
ENST00000671208.1	AL669831.7
ENST00000661463.1	AL669831.7
ENST00000446136.1	FAM41C
ENST00000432963.1	FAM41C
ENST00000427857.1	FAM41C
ENST00000415481.1	TUBB8P11
ENST00000635557.1	AL669831.5
ENST00000607769.1	AL645608.6
ENST00000448179.1	AL645608.2
ENST00000398216.2	AL645608.4
ENST00000609207.1	LINC02593
ENST00000417705.1	LINC02593
ENST00000432961.1	LINC02593
ENST00000420190.6	SAMD11
ENST00000437963.5	SAMD11
ENST00000342066.8	SAMD11
ENST00000616016.4	SAMD11
ENST00000616125.4	SAMD11
ENST00000617307.4	SAMD11
ENST00000618181.4	SAMD11
ENST00000618323.4	SAMD11
ENST00000618779.4	SAMD11
ENST00000620200.4	SAMD11
ENST00000622503.4	SAMD11
ENST00000341065.8	SAMD11
ENST00000455979.1	SAMD11
ENST00000478729.1	SAMD11
ENST00000474461.1	SAMD11
ENST00000466827.1	SAMD11
ENST00000464948.1	SAMD11
ENST00000327044.7	NOC2L
ENST00000483767.5	NOC2L
ENST00000477976.5	NOC2L
ENST00000496938.1	NOC2L
ENST00000487214.1	NOC2L
ENST00000469563.1	NOC2L
ENST00000338591.8	KLHL17
ENST00000622660.1	KLHL17
ENST00000463212.1	KLHL17
ENST00000466300.1	KLHL17
ENST00000481067.1	KLHL17
ENST00000379410.8	PLEKHN1
ENST00000379407.7	PLEKHN1
ENST00000379409.6	PLEKHN1
ENST00000480267.1	PLEKHN1
ENST00000491024.1	PLEKHN1
ENST00000341290.6	PERM1
ENST00000479361.1	PERM1
ENST00000433179.3	PERM1
ENST00000606034.1	AL645608.7
ENST00000428771.6	HES4
ENST00000304952.11	HES4
ENST00000481869.1	HES4
ENST00000484667.2	HES4
ENST00000624697.4	ISG15
ENST00000624652.1	ISG15
ENST00000423619.2	AL645608.3
ENST00000458555.1	AL645608.1
ENST00000649529.1	ISG15
ENST00000379370.7	AGRN
ENST00000620552.4	AGRN
ENST00000651234.1	AGRN
ENST00000652369.1	AGRN
ENST00000469403.1	AGRN
ENST00000479707.1	AGRN
ENST00000466223.1	AGRN
ENST00000478677.1	AGRN
ENST00000492947.1	AGRN
ENST00000461111.1	AGRN
ENST00000418300.1	AL645608.5
ENST00000394517.7	AL390719.1
ENST00000427998.5	AL390719.1
ENST00000442292.2	AL645608.8
ENST00000456409.5	AL390719.1
ENST00000412397.2	AL390719.1
ENST00000433695.1	AL390719.1
ENST00000451054.1	AL390719.1
ENST00000453464.3	RNF223
ENST00000379339.5	C1orf159
ENST00000465822.5	C1orf159
ENST00000421241.7	C1orf159
ENST00000379325.7	C1orf159
ENST00000487177.5	C1orf159
ENST00000467751.5	C1orf159
ENST00000477196.5	C1orf159
ENST00000464905.1	C1orf159
ENST00000379320.5	C1orf159
ENST00000379319.5	C1orf159
ENST00000434641.5	C1orf159
ENST00000482816.5	C1orf159
ENST00000462097.5	C1orf159
ENST00000473600.1	C1orf159
ENST00000475119.5	C1orf159
ENST00000442117.5	C1orf159
ENST00000427787.5	C1orf159
ENST00000472741.5	C1orf159
ENST00000480643.1	C1orf159
ENST00000648183.1	AL390719.3
ENST00000416774.1	LINC01342
ENST00000384997.3	MIR200B
ENST00000384875.3	MIR200A
ENST00000362106.1	MIR429
ENST00000606993.1	AL390719.2
ENST00000379317.1	TTLL10-AS1
ENST00000379289.6	TTLL10
ENST00000379290.6	TTLL10
ENST00000506177.1	TTLL10
ENST00000673999.1	TTLL10
ENST00000379288.3	TTLL10
ENST00000460998.1	TTLL10
ENST00000514695.1	TTLL10
ENST00000486379.1	TTLL10
ENST00000328596.10	TNFRSF18
ENST00000379268.7	TNFRSF18
ENST00000486728.5	TNFRSF18
ENST00000379265.5	TNFRSF18
ENST00000497869.5	TNFRSF4
ENST00000379236.4	TNFRSF4
ENST00000453580.1	TNFRSF4
ENST00000660930.1	SDF4
ENST00000360001.12	SDF4
ENST00000263741.12	SDF4
ENST00000465727.5	SDF4
ENST00000494748.1	SDF4
ENST00000478938.1	SDF4
ENST00000403997.2	SDF4
ENST00000459994.2	SDF4
ENST00000379198.5	B3GALT6
ENST00000462849.1	C1QTNF12
ENST00000478606.1	C1QTNF12
ENST00000330388.2	C1QTNF12
ENST00000468365.1	C1QTNF12
ENST00000486627.1	C1QTNF12
ENST00000565563.1	AL162741.1
ENST00000450390.6	UBE2J2
ENST00000349431.11	UBE2J2
ENST00000347370.6	UBE2J2
ENST00000400929.6	UBE2J2
ENST00000464036.5	UBE2J2
ENST00000360466.6	UBE2J2
ENST00000400930.8	UBE2J2
ENST00000467339.1	UBE2J2
ENST00000473215.5	UBE2J2
ENST00000435198.5	UBE2J2
ENST00000509720.5	UBE2J2
ENST00000491779.5	UBE2J2
ENST00000466752.5	UBE2J2
ENST00000503294.5	UBE2J2
ENST00000477894.5	UBE2J2
ENST00000471154.1	UBE2J2
ENST00000422076.5	UBE2J2
ENST00000502382.1	UBE2J2
ENST00000461142.3	UBE2J2
ENST00000488418.2	UBE2J2
ENST00000434139.1	LINC01786
ENST00000453732.1	LINC01786
ENST00000379116.10	SCNN1D
ENST00000379101.8	SCNN1D
ENST00000338555.6	SCNN1D
ENST00000400928.7	SCNN1D
ENST00000470022.1	SCNN1D
ENST00000325425.12	SCNN1D
ENST00000467651.2	SCNN1D
ENST00000379099.3	SCNN1D
ENST00000492936.5	ACAP3
ENST00000354700.10	ACAP3
ENST00000467278.5	ACAP3
ENST00000353662.4	ACAP3
ENST00000470659.1	ACAP3
ENST00000613751.1	MIR6726
ENST00000379037.6	ACAP3
ENST00000476572.1	ACAP3
ENST00000493992.1	ACAP3
ENST00000472541.5	ACAP3
ENST00000354980.7	ACAP3
ENST00000478065.5	ACAP3
ENST00000479108.5	ACAP3
ENST00000438966.1	ACAP3
ENST00000379031.10	PUSL1
ENST00000470520.5	PUSL1
ENST00000463758.1	PUSL1
ENST00000467712.1	PUSL1
ENST00000493657.1	PUSL1
ENST00000470030.6	INTS11
ENST00000540437.5	INTS11
ENST00000545578.5	INTS11
ENST00000618806.4	INTS11
ENST00000620829.4	INTS11
ENST00000497304.6	INTS11
ENST00000323275.10	INTS11
ENST00000435064.6	INTS11
ENST00000411962.5	INTS11
ENST00000462432.5	INTS11
ENST00000478641.5	INTS11
ENST00000421495.6	INTS11
ENST00000458452.7	INTS11
ENST00000419704.5	INTS11
ENST00000532772.5	INTS11
ENST00000450926.6	INTS11
ENST00000527098.5	INTS11
ENST00000485710.5	INTS11
ENST00000461514.6	INTS11
ENST00000525164.5	INTS11
ENST00000528879.5	INTS11
ENST00000525769.5	INTS11
ENST00000620702.1	MIR6727
ENST00000531377.5	INTS11
ENST00000527383.5	INTS11
ENST00000531292.5	INTS11
ENST00000467408.6	INTS11
ENST00000434694.6	INTS11
ENST00000531020.1	INTS11
ENST00000533916.5	INTS11
ENST00000488042.6	INTS11
ENST00000526797.5	INTS11
ENST00000526332.5	INTS11
ENST00000430786.5	INTS11
ENST00000527719.5	INTS11
ENST00000530031.5	INTS11
ENST00000526113.1	INTS11
ENST00000526904.5	INTS11
ENST00000525603.1	INTS11
ENST00000444968.1	AL139287.1
ENST00000429572.5	INTS11
ENST00000498173.2	INTS11
ENST00000496353.1	INTS11
ENST00000493534.6	INTS11
ENST00000534345.5	INTS11
ENST00000532952.5	INTS11
ENST00000490853.5	INTS11
ENST00000531019.5	INTS11
ENST00000498476.6	INTS11
ENST00000470679.3	INTS11
ENST00000525285.1	INTS11
ENST00000530233.1	INTS11
ENST00000464957.1	CPTP
ENST00000343938.9	CPTP
ENST00000488011.1	CPTP
ENST00000339381.6	TAS1R3
ENST00000378891.9	DVL1
ENST00000378888.10	DVL1
ENST00000610709.2	DVL1
ENST00000632445.1	DVL1
ENST00000631679.1	DVL1
ENST00000634054.1	DVL1
ENST00000633096.1	DVL1
ENST00000616525.1	MIR6808
ENST00000472445.1	DVL1
ENST00000474033.5	MXRA8
ENST00000342753.8	MXRA8
ENST00000309212.11	MXRA8
ENST00000445648.5	MXRA8
ENST00000477278.3	MXRA8
ENST00000473097.5	MXRA8
ENST00000478517.5	MXRA8
ENST00000476718.1	MXRA8
ENST00000464351.1	MXRA8
ENST00000460473.1	MXRA8
ENST00000338370.7	AURKAIP1
ENST00000338338.9	AURKAIP1
ENST00000321751.9	AURKAIP1
ENST00000378853.3	AURKAIP1
ENST00000489799.1	AURKAIP1
ENST00000496905.1	AURKAIP1
ENST00000435351.2	NDUFB4P8
ENST00000480479.5	CCNL2
ENST00000400809.8	CCNL2
ENST00000482621.5	CCNL2
ENST00000463260.5	CCNL2
ENST00000496007.5	CCNL2
ENST00000482365.5	CCNL2
ENST00000408952.8	CCNL2
ENST00000481223.6	CCNL2
ENST00000418865.6	CCNL2
ENST00000505849.5	CCNL2
ENST00000488340.5	CCNL2
ENST00000492998.5	CCNL2
ENST00000469113.5	CCNL2
ENST00000480646.1	CCNL2
ENST00000471930.5	CCNL2
ENST00000408918.8	CCNL2
ENST00000473872.5	CCNL2
ENST00000425598.2	CCNL2
ENST00000463895.1	CCNL2
ENST00000497013.1	CCNL2
ENST00000659048.1	MRPL20-AS1
ENST00000448629.6	MRPL20-AS1
ENST00000444362.2	MRPL20-AS1
ENST00000418833.2	MRPL20-AS1
ENST00000576232.1	MRPL20-AS1
ENST00000570344.1	MRPL20-AS1
ENST00000447725.2	MRPL20-AS1
ENST00000572242.1	MRPL20-AS1
ENST00000453521.1	MRPL20-AS1
ENST00000344843.12	MRPL20
ENST00000493287.5	MRPL20
ENST00000487659.1	MRPL20
ENST00000492508.1	MRPL20
ENST00000482352.1	MRPL20
ENST00000582431.2	RN7SL657P
ENST00000477686.1	MRPL20
ENST00000607307.1	MRPL20-DT
ENST00000520296.5	ANKRD65
ENST00000427211.3	ANKRD65
ENST00000537107.5	ANKRD65
ENST00000454272.2	ANKRD65
ENST00000442470.1	ANKRD65
ENST00000428932.1	AL391244.1
ENST00000378821.3	TMEM88B
ENST00000430109.1	LINC01770
ENST00000434150.1	LINC01770
ENST00000454562.1	LINC01770
ENST00000417917.1	LINC01770
ENST00000495558.1	VWA1
ENST00000338660.5	VWA1
ENST00000476993.2	VWA1
ENST00000471398.1	VWA1
ENST00000378785.7	ATAD3C
ENST00000475091.2	ATAD3C
ENST00000484537.2	ATAD3C
ENST00000673477.1	ATAD3B
ENST00000308647.8	ATAD3B
ENST00000472194.6	ATAD3B
ENST00000378736.3	ATAD3B
ENST00000485748.5	ATAD3B
ENST00000474481.1	ATAD3B
ENST00000641974.1	AL645728.2
ENST00000641679.1	AL645728.2
ENST00000378756.8	ATAD3A
ENST00000672388.1	ATAD3A
ENST00000378755.9	ATAD3A
ENST00000339113.9	ATAD3A
ENST00000536055.6	ATAD3A
ENST00000439513.1	ATAD3A
ENST00000429957.1	ATAD3A
ENST00000400830.4	ATAD3A
ENST00000378733.9	TMEM240
ENST00000425828.1	TMEM240
ENST00000624426.1	TMEM240
ENST00000291386.4	SSU72
ENST00000378726.1	SSU72
ENST00000378725.3	SSU72
ENST00000359060.5	SSU72
ENST00000647566.1	AL645728.1
ENST00000366221.3	AL645728.1
ENST00000621860.1	AL691432.3
ENST00000422725.4	FNDC10
ENST00000658591.1	AL691432.4
ENST00000607222.1	AL691432.2
ENST00000520777.5	MIB2
ENST00000355826.9	MIB2
ENST00000518681.5	MIB2
ENST00000505820.6	MIB2
ENST00000479659.5	MIB2
ENST00000489635.5	MIB2
ENST00000511502.5	MIB2
ENST00000477990.1	MIB2
ENST00000514363.1	MIB2
ENST00000487053.5	MIB2
ENST00000502470.5	MIB2
ENST00000378712.5	MIB2
ENST00000507082.1	MIB2
ENST00000463492.1	MIB2
ENST00000510793.5	MIB2
ENST00000504599.5	MIB2
ENST00000507229.5	MIB2
ENST00000503789.5	MIB2
ENST00000378708.5	MIB2
ENST00000506488.5	MIB2
ENST00000512004.1	MIB2
ENST00000508455.1	MIB2
ENST00000514234.5	MIB2
ENST00000467597.1	MIB2
ENST00000508148.1	MIB2
ENST00000486072.1	MIB2
ENST00000505370.1	MIB2
ENST00000473511.5	MIB2
ENST00000464570.1	MIB2
ENST00000483015.1	MIB2
ENST00000511910.1	MIB2
ENST00000470373.1	MIB2
ENST00000472264.1	MMP23B
ENST00000356026.10	MMP23B
ENST00000512731.5	MMP23B
ENST00000378675.7	MMP23B
ENST00000479814.5	MMP23B
ENST00000435358.5	MMP23B
ENST00000503792.1	MMP23B
ENST00000489782.1	MMP23B
ENST00000486400.1	MMP23B
ENST00000490017.1	MMP23B
ENST00000341832.11	CDK11B
ENST00000407249.7	CDK11B
ENST00000340677.9	CDK11B
ENST00000611150.3	CDK11B
ENST00000615951.4	CDK11B
ENST00000626918.2	CDK11B
ENST00000629289.2	CDK11B
ENST00000629312.2	CDK11B
ENST00000341028.8	CDK11B
ENST00000607013.1	FO704657.1
ENST00000614300.4	SLC35E2B
ENST00000617444.5	SLC35E2B
ENST00000611123.1	SLC35E2B
ENST00000480991.1	SLC35E2B
ENST00000481276.1	SLC35E2B
ENST00000596308.1	AL691432.1
ENST00000597891.1	AL691432.1
ENST00000234610.5	MMP23A
ENST00000404249.8	CDK11A
ENST00000356200.7	CDK11A
ENST00000598846.1	AL031282.2
ENST00000463652.5	CDK11A
ENST00000356937.7	CDK11A
ENST00000378638.6	CDK11A
ENST00000509982.5	CDK11A
ENST00000357760.6	CDK11A
ENST00000358779.9	CDK11A
ENST00000378633.5	CDK11A
ENST00000460465.5	CDK11A
ENST00000478901.1	CDK11A
ENST00000468397.1	CDK11A
ENST00000491311.1	CDK11A
ENST00000495016.5	CDK11A
ENST00000468800.5	CDK11A
ENST00000464748.1	CDK11A
ENST00000489300.1	CDK11A
ENST00000492390.5	CDK11A
ENST00000474916.1	CDK11A
ENST00000479362.1	CDK11A
ENST00000498810.1	CDK11A
ENST00000487462.1	CDK11A
ENST00000401096.2	CDK11A
ENST00000577672.1	AL031282.1
ENST00000417099.1	AL031282.1
ENST00000647043.1	SLC35E2A
ENST00000475229.2	SLC35E2A
ENST00000246421.4	SLC35E2A
ENST00000424604.1	AL031282.1
ENST00000643943.1	SLC35E2A
ENST00000418950.2	AL031282.1
ENST00000341426.9	NADK
ENST00000341991.7	NADK
ENST00000378625.5	NADK
ENST00000342348.9	NADK
ENST00000498806.1	NADK
ENST00000469045.5	NADK
ENST00000480499.5	NADK
ENST00000497747.5	NADK
ENST00000477235.5	NADK
ENST00000489538.1	NADK
ENST00000497615.1	NADK
ENST00000497186.5	NADK
ENST00000492845.6	NADK
ENST00000492768.5	NADK
ENST00000460602.5	NADK
ENST00000464373.1	NADK
ENST00000480542.1	NADK
ENST00000610897.4	GNB1
ENST00000615252.4	GNB1
ENST00000378609.9	GNB1
ENST00000461893.5	GNB1
ENST00000471354.1	GNB1
ENST00000439272.6	GNB1
ENST00000434686.6	GNB1
ENST00000437146.1	GNB1
ENST00000607589.1	GNB1
ENST00000472614.2	GNB1
ENST00000412228.1	AL109917.1
ENST00000378604.3	CALML6
ENST00000307786.8	CALML6
ENST00000482402.1	CALML6
ENST00000462293.1	CALML6
ENST00000378602.3	TMEM52
ENST00000310991.8	TMEM52
ENST00000378598.4	TMEM52
ENST00000470931.2	TMEM52
ENST00000602604.1	TMEM52
ENST00000416272.1	TMEM52
ENST00000642590.1	CFAP74
ENST00000493964.5	CFAP74
ENST00000464311.5	CFAP74
ENST00000412120.2	CFAP74
ENST00000493316.5	CFAP74
ENST00000270720.11	CFAP74
ENST00000468610.5	CFAP74
ENST00000461752.3	CFAP74
ENST00000378592.1	CFAP74
ENST00000378590.4	CFAP74
ENST00000443930.1	AL391845.2
ENST00000659674.1	AL391845.2
ENST00000638411.1	GABRD
ENST00000378585.7	GABRD
ENST00000639045.1	GABRD
ENST00000640067.1	GABRD
ENST00000638604.1	GABRD
ENST00000638771.1	GABRD
ENST00000639935.1	GABRD
ENST00000640949.1	GABRD
ENST00000640030.1	GABRD
ENST00000640423.1	GABRD
ENST00000639625.1	GABRD
ENST00000639777.1	GABRD
ENST00000640981.1	GABRD
ENST00000638763.1	GABRD
ENST00000639070.1	GABRD
ENST00000640892.1	GABRD
ENST00000640317.1	GABRD
ENST00000638804.1	GABRD
ENST00000640688.1	GABRD
ENST00000445600.1	AL391845.1
ENST00000449154.1	AL391845.1
ENST00000378567.8	PRKCZ
ENST00000468310.5	PRKCZ
ENST00000484419.1	PRKCZ
ENST00000503297.1	PRKCZ
ENST00000479566.5	PRKCZ
ENST00000466651.5	PRKCZ
ENST00000400921.6	PRKCZ
ENST00000495347.5	PRKCZ
ENST00000461106.6	PRKCZ
ENST00000461465.5	PRKCZ
ENST00000470596.5	PRKCZ
ENST00000496325.5	PRKCZ
ENST00000481140.5	PRKCZ
ENST00000482686.5	PRKCZ
ENST00000486681.5	PRKCZ
ENST00000470986.5	PRKCZ
ENST00000470511.5	PRKCZ
ENST00000471018.6	PRKCZ
ENST00000466352.5	PRKCZ
ENST00000497183.5	PRKCZ
ENST00000419838.6	PRKCZ
ENST00000606533.1	AL590822.2
ENST00000479263.5	PRKCZ
ENST00000503672.1	PRKCZ
ENST00000478770.6	PRKCZ
ENST00000505322.5	PRKCZ
ENST00000472017.1	PRKCZ
ENST00000333854.2	PRKCZ-AS1
ENST00000444529.1	PRKCZ-AS1
ENST00000400919.7	FAAP20
ENST00000469733.5	FAAP20
ENST00000428120.5	FAAP20
ENST00000414253.5	FAAP20
ENST00000400918.7	FAAP20
ENST00000497675.2	FAAP20
ENST00000378543.2	FAAP20
ENST00000378546.9	FAAP20
ENST00000401813.7	FAAP20
ENST00000487186.5	FAAP20
ENST00000476803.1	FAAP20
ENST00000440825.6	FAAP20
ENST00000420515.1	FAAP20
ENST00000514625.1	FAAP20
ENST00000420964.1	FAAP20
ENST00000442483.2	AL590822.1
ENST00000378536.5	SKI
ENST00000508416.1	SKI
ENST00000478223.2	SKI
ENST00000507179.1	SKI
ENST00000659232.1	AL590822.3
ENST00000661319.1	AL590822.3
ENST00000378531.8	MORN1
ENST00000607720.1	AL589739.1
ENST00000606372.5	MORN1
ENST00000602865.1	AL513477.1
ENST00000417061.2	AL513477.1
ENST00000378529.7	MORN1
ENST00000607342.5	MORN1
ENST00000607858.1	AL513477.2
ENST00000469374.5	MORN1
ENST00000419785.1	MORN1
ENST00000449373.2	MORN1
ENST00000378525.2	MORN1
ENST00000607031.1	MORN1
ENST00000475812.1	MORN1
ENST00000494279.2	MORN1
ENST00000378513.7	RER1
ENST00000378518.5	RER1
ENST00000605895.6	RER1
ENST00000306256.13	RER1
ENST00000493207.1	RER1
ENST00000378512.5	RER1
ENST00000443438.5	RER1
ENST00000488353.2	RER1
ENST00000462129.1	RER1
ENST00000288774.8	PEX10
ENST00000447513.7	PEX10
ENST00000650293.1	PEX10
ENST00000507596.5	PEX10
ENST00000510434.1	PEX10
ENST00000508384.5	PEX10
ENST00000515760.1	PEX10
ENST00000502666.1	PEX10
ENST00000514502.1	PEX10
ENST00000609981.5	PLCH2
ENST00000449969.5	PLCH2
ENST00000378486.8	PLCH2
ENST00000419816.6	PLCH2
ENST00000343889.8	PLCH2
ENST00000278878.6	PLCH2
ENST00000424657.1	AL139246.1
ENST00000442305.1	AL139246.4
ENST00000473964.5	PLCH2
ENST00000462379.1	PLCH2
ENST00000378466.9	PANK4
ENST00000435556.8	PANK4
ENST00000505228.5	PANK4
ENST00000502512.1	PANK4
ENST00000471361.1	PANK4
ENST00000487804.1	PANK4
ENST00000515423.1	PANK4
ENST00000468002.2	PANK4
ENST00000486396.1	PANK4
ENST00000502770.2	PANK4
ENST00000491212.1	PANK4
ENST00000514922.1	PANK4
ENST00000378453.4	HES5
ENST00000644246.1	AL139246.5
ENST00000606645.2	AL139246.5
ENST00000449660.5	TNFRSF14-AS1
ENST00000443892.2	TNFRSF14-AS1
ENST00000416860.2	TNFRSF14-AS1
ENST00000448624.2	TNFRSF14-AS1
ENST00000432521.2	TNFRSF14-AS1
ENST00000452793.1	TNFRSF14-AS1
ENST00000426449.5	TNFRSF14
ENST00000434817.5	TNFRSF14
ENST00000435221.6	TNFRSF14
ENST00000451778.5	TNFRSF14
ENST00000409119.5	TNFRSF14
ENST00000355716.4	TNFRSF14
ENST00000475523.5	TNFRSF14
ENST00000442392.6	TNFRSF14
ENST00000482074.6	TNFRSF14
ENST00000496064.5	TNFRSF14
ENST00000463471.6	TNFRSF14
ENST00000466750.5	TNFRSF14
ENST00000471768.1	TNFRSF14
ENST00000463835.5	TNFRSF14
ENST00000482602.5	TNFRSF14
ENST00000480305.1	TNFRSF14
ENST00000456687.3	AL139246.2
ENST00000424215.1	AL139246.3
ENST00000493183.5	PRXL2B
ENST00000474659.5	PRXL2B
ENST00000378425.9	PRXL2B
ENST00000444521.6	PRXL2B
ENST00000419916.8	PRXL2B
ENST00000378424.9	PRXL2B
ENST00000537325.6	PRXL2B
ENST00000378427.6	PRXL2B
ENST00000464043.5	PRXL2B
ENST00000465233.6	PRXL2B
ENST00000498083.2	PRXL2B
ENST00000481683.5	PRXL2B
ENST00000484099.5	PRXL2B
ENST00000477045.1	PRXL2B
ENST00000476686.1	PRXL2B
ENST00000471840.5	MMEL1
ENST00000378412.8	MMEL1
ENST00000502556.5	MMEL1
ENST00000504800.5	MMEL1
ENST00000491941.5	MMEL1
ENST00000464195.1	MMEL1
ENST00000469962.1	MMEL1
ENST00000509374.1	MMEL1
ENST00000511099.1	MMEL1
ENST00000427302.1	MMEL1-AS1
ENST00000401095.8	TTC34
ENST00000637179.1	TTC34
ENST00000648684.1	AC242022.2
ENST00000638002.1	AC242022.1
ENST00000457440.1	AL592464.2
ENST00000664694.1	AL592464.3
ENST00000429389.1	AL592464.1
ENST00000641229.1	AL589702.1
ENST00000642073.1	AL589702.1
ENST00000378404.4	ACTRT2
ENST00000606861.1	PRDM16-DT
ENST00000321399.7	PRDM16-DT
ENST00000413472.5	PRDM16-DT
ENST00000453118.5	PRDM16-DT
ENST00000445317.1	PRDM16-DT
ENST00000667159.1	PRDM16-DT
ENST00000670730.1	PRDM16-DT
